"","Cell","Organism","Attribute","Value","Nlevel"
"500",20,"25","StoredNitrogen",1.4031,"low"
"501",1,"26","StoredNitrogen",0.77539,"low"
"502",2,"26","StoredNitrogen",0.065423,"low"
"503",3,"26","StoredNitrogen",0.051131,"low"
"504",4,"26","StoredNitrogen",0.033217,"low"
"505",5,"26","StoredNitrogen",0.033134,"low"
"506",6,"26","StoredNitrogen",0.040496,"low"
"507",7,"26","StoredNitrogen",0.039139,"low"
"508",8,"26","StoredNitrogen",0.043697,"low"
"509",9,"26","StoredNitrogen",0.046557,"low"
"510",10,"26","StoredNitrogen",0.076203,"low"
"511",11,"26","StoredNitrogen",0.025907,"low"
"512",12,"26","StoredNitrogen",0.024698,"low"
"513",13,"26","StoredNitrogen",0.047513,"low"
"514",14,"26","StoredNitrogen",0.026472,"low"
"515",15,"26","StoredNitrogen",0.026472,"low"
"516",16,"26","StoredNitrogen",0.045915,"low"
"517",17,"26","StoredNitrogen",0.045915,"low"
"518",18,"26","StoredNitrogen",0.066034,"low"
"519",19,"26","StoredNitrogen",0.069326,"low"
"520",20,"26","StoredNitrogen",1.333,"low"
"521",1,"27","StoredNitrogen",0.73661,"low"
"522",2,"27","StoredNitrogen",0.056207,"low"
"523",3,"27","StoredNitrogen",0.04787,"low"
"524",4,"27","StoredNitrogen",0.031894,"low"
"525",5,"27","StoredNitrogen",0.031894,"low"
"526",6,"27","StoredNitrogen",0.042384,"low"
"527",7,"27","StoredNitrogen",0.041881,"low"
"528",8,"27","StoredNitrogen",0.044537,"low"
"529",9,"27","StoredNitrogen",0.04448,"low"
"530",10,"27","StoredNitrogen",0.039623,"low"
"531",11,"27","StoredNitrogen",0.094431,"low"
"532",12,"27","StoredNitrogen",0.041518,"low"
